Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2018,1.3,ppm,15,Oakland West,Alameda
01/02/2018,1.9,ppm,22,Oakland West,Alameda
01/03/2018,1.3,ppm,15,Oakland West,Alameda
01/04/2018,0.9,ppm,10,Oakland West,Alameda
01/05/2018,0.7,ppm,8,Oakland West,Alameda
01/06/2018,1.2,ppm,14,Oakland West,Alameda
01/07/2018,1.5,ppm,17,Oakland West,Alameda
01/08/2018,0.8,ppm,9,Oakland West,Alameda
01/09/2018,0.6,ppm,7,Oakland West,Alameda
01/10/2018,0.5,ppm,6,Oakland West,Alameda
01/12/2018,1.1,ppm,13,Oakland West,Alameda
01/13/2018,1.3,ppm,15,Oakland West,Alameda
01/14/2018,0.7,ppm,8,Oakland West,Alameda
01/15/2018,0.6,ppm,7,Oakland West,Alameda
01/18/2018,0.7,ppm,8,Oakland West,Alameda
01/19/2018,1.0,ppm,11,Oakland West,Alameda
01/20/2018,0.7,ppm,8,Oakland West,Alameda
01/21/2018,1.1,ppm,13,Oakland West,Alameda
01/22/2018,0.4,ppm,5,Oakland West,Alameda
01/23/2018,1.0,ppm,11,Oakland West,Alameda
01/24/2018,1.2,ppm,14,Oakland West,Alameda
01/25/2018,0.5,ppm,6,Oakland West,Alameda
01/26/2018,0.8,ppm,9,Oakland West,Alameda
01/27/2018,0.9,ppm,10,Oakland West,Alameda
01/28/2018,0.8,ppm,9,Oakland West,Alameda
01/29/2018,1.0,ppm,11,Oakland West,Alameda
01/30/2018,1.4,ppm,16,Oakland West,Alameda
01/31/2018,1.3,ppm,15,Oakland West,Alameda
02/01/2018,1.3,ppm,15,Oakland West,Alameda
02/02/2018,1.9,ppm,22,Oakland West,Alameda
02/03/2018,1.3,ppm,15,Oakland West,Alameda
02/04/2018,1.5,ppm,17,Oakland West,Alameda
02/05/2018,1.5,ppm,17,Oakland West,Alameda
02/06/2018,1.3,ppm,15,Oakland West,Alameda
02/07/2018,1.5,ppm,17,Oakland West,Alameda
02/08/2018,1.5,ppm,17,Oakland West,Alameda
02/09/2018,1.1,ppm,13,Oakland West,Alameda
02/10/2018,0.9,ppm,10,Oakland West,Alameda
02/11/2018,0.7,ppm,8,Oakland West,Alameda
02/12/2018,0.5,ppm,6,Oakland West,Alameda
02/13/2018,0.8,ppm,9,Oakland West,Alameda
02/14/2018,1.5,ppm,17,Oakland West,Alameda
02/15/2018,0.9,ppm,10,Oakland West,Alameda
02/16/2018,1.5,ppm,17,Oakland West,Alameda
02/17/2018,1.2,ppm,14,Oakland West,Alameda
02/18/2018,0.4,ppm,5,Oakland West,Alameda
02/19/2018,0.3,ppm,3,Oakland West,Alameda
02/20/2018,0.7,ppm,8,Oakland West,Alameda
02/21/2018,0.5,ppm,6,Oakland West,Alameda
02/22/2018,0.5,ppm,6,Oakland West,Alameda
02/23/2018,0.7,ppm,8,Oakland West,Alameda
02/24/2018,1.1,ppm,13,Oakland West,Alameda
02/25/2018,0.5,ppm,6,Oakland West,Alameda
02/26/2018,0.4,ppm,5,Oakland West,Alameda
02/27/2018,0.6,ppm,7,Oakland West,Alameda
02/28/2018,0.7,ppm,8,Oakland West,Alameda
03/02/2018,0.5,ppm,6,Oakland West,Alameda
03/03/2018,0.5,ppm,6,Oakland West,Alameda
03/04/2018,0.5,ppm,6,Oakland West,Alameda
03/05/2018,0.7,ppm,8,Oakland West,Alameda
03/06/2018,0.8,ppm,9,Oakland West,Alameda
03/07/2018,1.0,ppm,11,Oakland West,Alameda
03/08/2018,0.6,ppm,7,Oakland West,Alameda
03/09/2018,0.6,ppm,7,Oakland West,Alameda
03/10/2018,0.6,ppm,7,Oakland West,Alameda
03/11/2018,0.7,ppm,8,Oakland West,Alameda
03/13/2018,0.4,ppm,5,Oakland West,Alameda
03/14/2018,0.4,ppm,5,Oakland West,Alameda
03/15/2018,0.5,ppm,6,Oakland West,Alameda
03/16/2018,0.4,ppm,5,Oakland West,Alameda
03/17/2018,0.7,ppm,8,Oakland West,Alameda
03/18/2018,0.9,ppm,10,Oakland West,Alameda
03/19/2018,1.1,ppm,13,Oakland West,Alameda
03/20/2018,0.6,ppm,7,Oakland West,Alameda
03/21/2018,0.5,ppm,6,Oakland West,Alameda
03/22/2018,0.4,ppm,5,Oakland West,Alameda
03/23/2018,0.5,ppm,6,Oakland West,Alameda
03/24/2018,0.4,ppm,5,Oakland West,Alameda
03/25/2018,0.5,ppm,6,Oakland West,Alameda
03/26/2018,0.4,ppm,5,Oakland West,Alameda
03/27/2018,0.6,ppm,7,Oakland West,Alameda
03/28/2018,1.0,ppm,11,Oakland West,Alameda
03/29/2018,0.9,ppm,10,Oakland West,Alameda
03/30/2018,0.8,ppm,9,Oakland West,Alameda
03/31/2018,0.6,ppm,7,Oakland West,Alameda
04/01/2018,0.5,ppm,6,Oakland West,Alameda
04/02/2018,0.5,ppm,6,Oakland West,Alameda
04/03/2018,0.6,ppm,7,Oakland West,Alameda
04/04/2018,0.4,ppm,5,Oakland West,Alameda
04/05/2018,0.4,ppm,5,Oakland West,Alameda
04/06/2018,0.4,ppm,5,Oakland West,Alameda
04/07/2018,0.4,ppm,5,Oakland West,Alameda
04/08/2018,0.5,ppm,6,Oakland West,Alameda
04/09/2018,0.8,ppm,9,Oakland West,Alameda
04/10/2018,0.5,ppm,6,Oakland West,Alameda
04/11/2018,0.5,ppm,6,Oakland West,Alameda
04/12/2018,0.4,ppm,5,Oakland West,Alameda
04/13/2018,0.5,ppm,6,Oakland West,Alameda
04/14/2018,0.7,ppm,8,Oakland West,Alameda
04/15/2018,0.5,ppm,6,Oakland West,Alameda
04/16/2018,0.5,ppm,6,Oakland West,Alameda
04/17/2018,0.6,ppm,7,Oakland West,Alameda
04/18/2018,0.6,ppm,7,Oakland West,Alameda
04/19/2018,0.7,ppm,8,Oakland West,Alameda
04/20/2018,0.7,ppm,8,Oakland West,Alameda
04/21/2018,0.5,ppm,6,Oakland West,Alameda
04/22/2018,0.5,ppm,6,Oakland West,Alameda
04/23/2018,0.6,ppm,7,Oakland West,Alameda
04/24/2018,0.5,ppm,6,Oakland West,Alameda
04/25/2018,0.4,ppm,5,Oakland West,Alameda
04/26/2018,0.4,ppm,5,Oakland West,Alameda
04/27/2018,0.5,ppm,6,Oakland West,Alameda
04/28/2018,0.4,ppm,5,Oakland West,Alameda
04/29/2018,0.4,ppm,5,Oakland West,Alameda
04/30/2018,0.6,ppm,7,Oakland West,Alameda
05/01/2018,0.5,ppm,6,Oakland West,Alameda
05/02/2018,0.5,ppm,6,Oakland West,Alameda
05/03/2018,0.5,ppm,6,Oakland West,Alameda
05/04/2018,0.6,ppm,7,Oakland West,Alameda
05/05/2018,0.5,ppm,6,Oakland West,Alameda
05/06/2018,0.5,ppm,6,Oakland West,Alameda
05/07/2018,0.6,ppm,7,Oakland West,Alameda
05/08/2018,0.3,ppm,3,Oakland West,Alameda
05/09/2018,0.4,ppm,5,Oakland West,Alameda
05/10/2018,0.4,ppm,5,Oakland West,Alameda
05/11/2018,0.5,ppm,6,Oakland West,Alameda
05/12/2018,0.5,ppm,6,Oakland West,Alameda
05/13/2018,0.3,ppm,3,Oakland West,Alameda
05/14/2018,0.3,ppm,3,Oakland West,Alameda
05/15/2018,0.3,ppm,3,Oakland West,Alameda
05/16/2018,0.3,ppm,3,Oakland West,Alameda
05/17/2018,0.4,ppm,5,Oakland West,Alameda
05/18/2018,0.3,ppm,3,Oakland West,Alameda
05/19/2018,0.3,ppm,3,Oakland West,Alameda
05/20/2018,0.3,ppm,3,Oakland West,Alameda
05/21/2018,0.3,ppm,3,Oakland West,Alameda
05/22/2018,0.4,ppm,5,Oakland West,Alameda
05/23/2018,0.4,ppm,5,Oakland West,Alameda
05/24/2018,0.3,ppm,3,Oakland West,Alameda
05/25/2018,0.4,ppm,5,Oakland West,Alameda
05/26/2018,0.4,ppm,5,Oakland West,Alameda
05/27/2018,0.4,ppm,5,Oakland West,Alameda
05/28/2018,0.5,ppm,6,Oakland West,Alameda
05/29/2018,0.5,ppm,6,Oakland West,Alameda
05/30/2018,0.3,ppm,3,Oakland West,Alameda
05/31/2018,0.4,ppm,5,Oakland West,Alameda
06/01/2018,0.4,ppm,5,Oakland West,Alameda
