Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/02/2018,40,ug/m3 SC,37,San Francisco,San Francisco
01/14/2018,26,ug/m3 SC,24,San Francisco,San Francisco
01/26/2018,18,ug/m3 SC,17,San Francisco,San Francisco
02/07/2018,35,ug/m3 SC,32,San Francisco,San Francisco
02/19/2018,9,ug/m3 SC,8,San Francisco,San Francisco
03/03/2018,7,ug/m3 SC,6,San Francisco,San Francisco
03/15/2018,12,ug/m3 SC,11,San Francisco,San Francisco
03/27/2018,23,ug/m3 SC,21,San Francisco,San Francisco
04/08/2018,24,ug/m3 SC,22,San Francisco,San Francisco
04/20/2018,29,ug/m3 SC,27,San Francisco,San Francisco
05/02/2018,23,ug/m3 SC,21,San Francisco,San Francisco
05/14/2018,7,ug/m3 SC,6,San Francisco,San Francisco
05/26/2018,16,ug/m3 SC,15,San Francisco,San Francisco
06/07/2018,21,ug/m3 SC,19,San Francisco,San Francisco
06/19/2018,15,ug/m3 SC,14,San Francisco,San Francisco
07/01/2018,35,ug/m3 SC,32,San Francisco,San Francisco
07/13/2018,9,ug/m3 SC,8,San Francisco,San Francisco
07/25/2018,12,ug/m3 SC,11,San Francisco,San Francisco
08/06/2018,12,ug/m3 SC,11,San Francisco,San Francisco
08/18/2018,11,ug/m3 SC,10,San Francisco,San Francisco
08/30/2018,15,ug/m3 SC,14,San Francisco,San Francisco
09/11/2018,30,ug/m3 SC,28,San Francisco,San Francisco
09/23/2018,23,ug/m3 SC,21,San Francisco,San Francisco
10/05/2018,18,ug/m3 SC,17,San Francisco,San Francisco
10/17/2018,28,ug/m3 SC,26,San Francisco,San Francisco
10/29/2018,20,ug/m3 SC,19,San Francisco,San Francisco
11/22/2018,8,ug/m3 SC,7,San Francisco,San Francisco
12/04/2018,19,ug/m3 SC,18,San Francisco,San Francisco
12/16/2018,8,ug/m3 SC,7,San Francisco,San Francisco
12/28/2018,12,ug/m3 SC,11,San Francisco,San Francisco
