Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2018,29.0,ug/m3 LC,87,Oakland West,Alameda
01/02/2018,33.0,ug/m3 LC,95,Oakland West,Alameda
01/03/2018,35.6,ug/m3 LC,101,Oakland West,Alameda
01/04/2018,21.5,ug/m3 LC,71,Oakland West,Alameda
01/05/2018,5.0,ug/m3 LC,21,Oakland West,Alameda
01/06/2018,11.2,ug/m3 LC,47,Oakland West,Alameda
01/07/2018,16.0,ug/m3 LC,59,Oakland West,Alameda
01/08/2018,12.5,ug/m3 LC,52,Oakland West,Alameda
01/09/2018,6.3,ug/m3 LC,26,Oakland West,Alameda
01/10/2018,8.7,ug/m3 LC,36,Oakland West,Alameda
01/11/2018,15.8,ug/m3 LC,59,Oakland West,Alameda
01/12/2018,15.7,ug/m3 LC,59,Oakland West,Alameda
01/13/2018,16.9,ug/m3 LC,61,Oakland West,Alameda
01/14/2018,26.7,ug/m3 LC,82,Oakland West,Alameda
01/15/2018,27.8,ug/m3 LC,84,Oakland West,Alameda
01/16/2018,21.0,ug/m3 LC,70,Oakland West,Alameda
01/17/2018,26.2,ug/m3 LC,81,Oakland West,Alameda
01/18/2018,19.7,ug/m3 LC,67,Oakland West,Alameda
01/19/2018,8.0,ug/m3 LC,33,Oakland West,Alameda
01/20/2018,10.7,ug/m3 LC,45,Oakland West,Alameda
01/21/2018,11.8,ug/m3 LC,49,Oakland West,Alameda
01/22/2018,9.7,ug/m3 LC,40,Oakland West,Alameda
01/23/2018,11.2,ug/m3 LC,47,Oakland West,Alameda
01/24/2018,13.0,ug/m3 LC,53,Oakland West,Alameda
01/25/2018,8.8,ug/m3 LC,37,Oakland West,Alameda
01/26/2018,13.1,ug/m3 LC,53,Oakland West,Alameda
01/27/2018,10.7,ug/m3 LC,45,Oakland West,Alameda
01/28/2018,10.2,ug/m3 LC,43,Oakland West,Alameda
01/29/2018,21.0,ug/m3 LC,70,Oakland West,Alameda
01/30/2018,15.8,ug/m3 LC,59,Oakland West,Alameda
01/31/2018,15.3,ug/m3 LC,58,Oakland West,Alameda
02/01/2018,14.8,ug/m3 LC,57,Oakland West,Alameda
02/02/2018,17.6,ug/m3 LC,63,Oakland West,Alameda
02/03/2018,13.8,ug/m3 LC,55,Oakland West,Alameda
02/04/2018,15.1,ug/m3 LC,57,Oakland West,Alameda
02/05/2018,17.8,ug/m3 LC,63,Oakland West,Alameda
02/06/2018,12.4,ug/m3 LC,52,Oakland West,Alameda
02/07/2018,19.2,ug/m3 LC,66,Oakland West,Alameda
02/08/2018,32.8,ug/m3 LC,95,Oakland West,Alameda
02/09/2018,15.3,ug/m3 LC,58,Oakland West,Alameda
02/10/2018,11.2,ug/m3 LC,47,Oakland West,Alameda
02/11/2018,10.4,ug/m3 LC,43,Oakland West,Alameda
02/12/2018,6.8,ug/m3 LC,28,Oakland West,Alameda
02/13/2018,8.7,ug/m3 LC,36,Oakland West,Alameda
02/14/2018,11.8,ug/m3 LC,49,Oakland West,Alameda
02/15/2018,11.0,ug/m3 LC,46,Oakland West,Alameda
02/16/2018,22.7,ug/m3 LC,73,Oakland West,Alameda
02/17/2018,14.3,ug/m3 LC,56,Oakland West,Alameda
02/18/2018,10.3,ug/m3 LC,43,Oakland West,Alameda
02/21/2018,10.4,ug/m3 LC,43,Oakland West,Alameda
02/22/2018,7.7,ug/m3 LC,32,Oakland West,Alameda
02/23/2018,8.7,ug/m3 LC,36,Oakland West,Alameda
02/24/2018,11.2,ug/m3 LC,47,Oakland West,Alameda
02/25/2018,10.0,ug/m3 LC,42,Oakland West,Alameda
02/26/2018,7.8,ug/m3 LC,33,Oakland West,Alameda
02/27/2018,8.6,ug/m3 LC,36,Oakland West,Alameda
02/28/2018,9.9,ug/m3 LC,41,Oakland West,Alameda
03/01/2018,10.1,ug/m3 LC,42,Oakland West,Alameda
03/02/2018,7.4,ug/m3 LC,31,Oakland West,Alameda
03/03/2018,7.8,ug/m3 LC,33,Oakland West,Alameda
03/04/2018,8.2,ug/m3 LC,34,Oakland West,Alameda
03/05/2018,6.6,ug/m3 LC,28,Oakland West,Alameda
03/06/2018,13.0,ug/m3 LC,53,Oakland West,Alameda
03/07/2018,12.7,ug/m3 LC,52,Oakland West,Alameda
03/08/2018,6.6,ug/m3 LC,28,Oakland West,Alameda
03/09/2018,11.1,ug/m3 LC,46,Oakland West,Alameda
03/10/2018,12.2,ug/m3 LC,51,Oakland West,Alameda
03/11/2018,18.5,ug/m3 LC,64,Oakland West,Alameda
03/12/2018,12.7,ug/m3 LC,52,Oakland West,Alameda
03/13/2018,7.3,ug/m3 LC,30,Oakland West,Alameda
03/14/2018,7.8,ug/m3 LC,33,Oakland West,Alameda
03/15/2018,9.0,ug/m3 LC,38,Oakland West,Alameda
03/16/2018,6.2,ug/m3 LC,26,Oakland West,Alameda
03/17/2018,8.3,ug/m3 LC,35,Oakland West,Alameda
03/18/2018,12.1,ug/m3 LC,51,Oakland West,Alameda
03/19/2018,11.8,ug/m3 LC,49,Oakland West,Alameda
03/20/2018,11.1,ug/m3 LC,46,Oakland West,Alameda
03/21/2018,6.1,ug/m3 LC,25,Oakland West,Alameda
03/22/2018,6.9,ug/m3 LC,29,Oakland West,Alameda
03/23/2018,8.5,ug/m3 LC,35,Oakland West,Alameda
03/24/2018,9.1,ug/m3 LC,38,Oakland West,Alameda
03/25/2018,8.0,ug/m3 LC,33,Oakland West,Alameda
03/26/2018,7.2,ug/m3 LC,30,Oakland West,Alameda
03/27/2018,11.2,ug/m3 LC,47,Oakland West,Alameda
03/28/2018,15.6,ug/m3 LC,58,Oakland West,Alameda
03/29/2018,16.4,ug/m3 LC,60,Oakland West,Alameda
03/30/2018,16.6,ug/m3 LC,60,Oakland West,Alameda
03/31/2018,15.5,ug/m3 LC,58,Oakland West,Alameda
