Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2019,34.8,ppb,32,Oakland West,Alameda
01/02/2019,37.6,ppb,35,Oakland West,Alameda
01/03/2019,38.0,ppb,36,Oakland West,Alameda
01/04/2019,39.1,ppb,37,Oakland West,Alameda
01/05/2019,16.1,ppb,15,Oakland West,Alameda
01/06/2019,13.2,ppb,12,Oakland West,Alameda
01/07/2019,35.1,ppb,33,Oakland West,Alameda
01/08/2019,30.2,ppb,28,Oakland West,Alameda
01/09/2019,29.8,ppb,27,Oakland West,Alameda
01/10/2019,32.0,ppb,30,Oakland West,Alameda
01/11/2019,26.1,ppb,25,Oakland West,Alameda
01/12/2019,30.6,ppb,28,Oakland West,Alameda
01/13/2019,30.2,ppb,28,Oakland West,Alameda
01/14/2019,35.0,ppb,33,Oakland West,Alameda
01/15/2019,28.9,ppb,26,Oakland West,Alameda
01/16/2019,12.0,ppb,11,Oakland West,Alameda
01/17/2019,27.4,ppb,25,Oakland West,Alameda
01/18/2019,35.2,ppb,33,Oakland West,Alameda
01/19/2019,30.0,ppb,28,Oakland West,Alameda
01/20/2019,25.0,ppb,24,Oakland West,Alameda
01/21/2019,21.7,ppb,20,Oakland West,Alameda
01/22/2019,34.6,ppb,32,Oakland West,Alameda
01/23/2019,35.6,ppb,33,Oakland West,Alameda
01/24/2019,33.5,ppb,31,Oakland West,Alameda
01/25/2019,37.0,ppb,35,Oakland West,Alameda
01/26/2019,32.2,ppb,30,Oakland West,Alameda
01/27/2019,28.1,ppb,26,Oakland West,Alameda
01/28/2019,26.4,ppb,25,Oakland West,Alameda
01/29/2019,25.2,ppb,24,Oakland West,Alameda
01/30/2019,32.1,ppb,30,Oakland West,Alameda
01/31/2019,37.7,ppb,35,Oakland West,Alameda
02/01/2019,21.3,ppb,20,Oakland West,Alameda
02/02/2019,6.1,ppb,6,Oakland West,Alameda
02/03/2019,10.1,ppb,9,Oakland West,Alameda
02/04/2019,18.9,ppb,17,Oakland West,Alameda
02/05/2019,23.7,ppb,22,Oakland West,Alameda
02/06/2019,35.9,ppb,33,Oakland West,Alameda
02/07/2019,43.0,ppb,41,Oakland West,Alameda
02/08/2019,25.5,ppb,24,Oakland West,Alameda
02/09/2019,19.1,ppb,18,Oakland West,Alameda
02/10/2019,31.4,ppb,29,Oakland West,Alameda
02/11/2019,35.5,ppb,33,Oakland West,Alameda
02/12/2019,34.7,ppb,32,Oakland West,Alameda
