Date,Daily_Max_1-hour_SO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
01/01/2020,0.5,ppb,0,Oakland West,Alameda
01/02/2020,1.2,ppb,1,Oakland West,Alameda
01/03/2020,1.8,ppb,1,Oakland West,Alameda
01/04/2020,1.4,ppb,1,Oakland West,Alameda
01/05/2020,0.7,ppb,0,Oakland West,Alameda
01/06/2020,1.4,ppb,1,Oakland West,Alameda
01/07/2020,1.7,ppb,1,Oakland West,Alameda
01/08/2020,0.8,ppb,0,Oakland West,Alameda
01/09/2020,0.4,ppb,0,Oakland West,Alameda
01/10/2020,1.5,ppb,1,Oakland West,Alameda
01/11/2020,0.3,ppb,0,Oakland West,Alameda
01/12/2020,1.0,ppb,1,Oakland West,Alameda
01/13/2020,0.5,ppb,0,Oakland West,Alameda
01/14/2020,0.1,ppb,0,Oakland West,Alameda
01/15/2020,1.0,ppb,1,Oakland West,Alameda
01/16/2020,0.0,ppb,0,Oakland West,Alameda
01/17/2020,0.9,ppb,0,Oakland West,Alameda
01/18/2020,0.0,ppb,0,Oakland West,Alameda
01/19/2020,0.1,ppb,0,Oakland West,Alameda
01/20/2020,0.5,ppb,0,Oakland West,Alameda
01/21/2020,0.0,ppb,0,Oakland West,Alameda
01/22/2020,1.1,ppb,1,Oakland West,Alameda
01/23/2020,0.7,ppb,0,Oakland West,Alameda
01/24/2020,0.7,ppb,0,Oakland West,Alameda
01/25/2020,0.3,ppb,0,Oakland West,Alameda
01/26/2020,0.0,ppb,0,Oakland West,Alameda
01/27/2020,0.6,ppb,0,Oakland West,Alameda
01/28/2020,0.0,ppb,0,Oakland West,Alameda
01/29/2020,1.0,ppb,1,Oakland West,Alameda
01/30/2020,0.9,ppb,0,Oakland West,Alameda
01/31/2020,2.3,ppb,3,Oakland West,Alameda
02/01/2020,2.1,ppb,3,Oakland West,Alameda
02/02/2020,0.3,ppb,0,Oakland West,Alameda
02/03/2020,0.5,ppb,0,Oakland West,Alameda
02/04/2020,1.1,ppb,1,Oakland West,Alameda
02/05/2020,2.1,ppb,3,Oakland West,Alameda
02/06/2020,3.6,ppb,4,Oakland West,Alameda
02/07/2020,4.5,ppb,6,Oakland West,Alameda
02/08/2020,0.7,ppb,0,Oakland West,Alameda
