Date,aqi_co,aqi_no2,aqi_o3,aqi_pm_2_5,aqi_pm_10,AQI_Max
2015-01-01,7.0,37.0,26.0,55.0,,55.0
2015-01-02,8.0,42.0,20.0,73.0,,73.0
2015-01-03,10.0,45.0,17.0,84.0,,84.0
2015-01-04,10.0,40.0,19.0,86.0,,86.0
2015-01-05,9.0,42.0,12.0,69.0,,69.0
2015-01-06,10.0,47.0,13.0,90.0,41.0,90.0
2015-01-07,15.0,47.0,8.0,72.0,,72.0
2015-01-08,14.0,48.0,5.0,98.0,,98.0
2015-01-09,14.0,33.0,9.0,80.0,,80.0
2015-01-10,7.0,29.0,13.0,56.0,,56.0
2015-01-11,7.0,25.0,14.0,54.0,,54.0
2015-01-12,7.0,31.0,9.0,50.0,,50.0
2015-01-13,10.0,35.0,11.0,38.0,,38.0
2015-01-14,8.0,32.0,13.0,81.0,,81.0
2015-01-15,9.0,44.0,9.0,100.0,,100.0
2015-01-16,9.0,37.0,5.0,93.0,,93.0
2015-01-17,8.0,27.0,17.0,57.0,,57.0
2015-01-18,8.0,22.0,7.0,58.0,17.0,58.0
2015-01-19,8.0,26.0,12.0,46.0,,46.0
2015-01-20,8.0,27.0,11.0,55.0,,55.0
2015-01-21,9.0,32.0,11.0,52.0,,52.0
2015-01-22,9.0,25.0,11.0,63.0,,63.0
2015-01-23,13.0,37.0,8.0,69.0,,69.0
2015-01-24,13.0,33.0,11.0,68.0,,68.0
2015-01-25,9.0,32.0,14.0,67.0,,67.0
2015-01-26,9.0,35.0,8.0,64.0,,64.0
2015-01-27,10.0,42.0,21.0,43.0,,43.0
2015-01-28,11.0,42.0,21.0,91.0,,91.0
2015-01-29,11.0,47.0,19.0,52.0,,52.0
2015-01-30,8.0,28.0,12.0,46.0,22.0,46.0
2015-01-31,9.0,25.0,27.0,34.0,,34.0
2015-02-01,9.0,35.0,18.0,57.0,,57.0
2015-02-02,11.0,45.0,20.0,81.0,,81.0
2015-02-03,11.0,37.0,16.0,60.0,,60.0
2015-02-04,9.0,30.0,30.0,74.0,,74.0
2015-02-05,6.0,39.0,28.0,34.0,,39.0
2015-02-06,3.0,9.0,29.0,15.0,,29.0
2015-02-07,5.0,14.0,26.0,26.0,,26.0
2015-02-08,5.0,17.0,38.0,18.0,,38.0
2015-02-09,5.0,19.0,30.0,43.0,,43.0
2015-02-10,7.0,27.0,21.0,29.0,,29.0
2015-02-11,8.0,39.0,15.0,36.0,15.0,39.0
2015-02-12,9.0,37.0,19.0,38.0,,38.0
2015-02-13,10.0,53.0,21.0,49.0,,53.0
2015-02-14,9.0,34.0,21.0,54.0,,54.0
2015-02-15,10.0,39.0,23.0,45.0,,45.0
2015-02-16,10.0,32.0,36.0,51.0,,51.0
2015-02-17,5.0,21.0,37.0,47.0,,47.0
2015-02-18,5.0,16.0,25.0,38.0,,38.0
2015-02-19,5.0,22.0,22.0,48.0,,48.0
2015-02-20,8.0,27.0,15.0,54.0,,54.0
2015-02-21,9.0,24.0,31.0,43.0,,43.0
2015-02-22,6.0,22.0,31.0,25.0,,31.0
2015-02-23,5.0,37.0,31.0,18.0,19.0,37.0
2015-02-24,7.0,61.0,29.0,26.0,,61.0
2015-02-25,6.0,29.0,28.0,41.0,,41.0
2015-02-26,8.0,35.0,29.0,48.0,,48.0
2015-02-27,5.0,13.0,33.0,15.0,,33.0
2015-02-28,5.0,30.0,31.0,17.0,,31.0
2015-03-01,,26.0,30.0,20.0,,30.0
2015-03-02,6.0,25.0,35.0,32.0,,35.0
2015-03-03,8.0,44.0,29.0,33.0,,44.0
