Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
01/02/2018,40.0,ug/m3 SC,37,San Francisco,San Francisco,,,,,
01/14/2018,26.0,ug/m3 SC,24,San Francisco,San Francisco,,,,,
01/26/2018,18.0,ug/m3 SC,17,San Francisco,San Francisco,,,,,
02/07/2018,35.0,ug/m3 SC,32,San Francisco,San Francisco,,,,,
02/19/2018,9.0,ug/m3 SC,8,San Francisco,San Francisco,,,,,
03/03/2018,7.0,ug/m3 SC,6,San Francisco,San Francisco,,,,,
03/15/2018,12.0,ug/m3 SC,11,San Francisco,San Francisco,,,,,
03/27/2018,23.0,ug/m3 SC,21,San Francisco,San Francisco,,,,,
04/08/2018,24.0,ug/m3 SC,22,San Francisco,San Francisco,,,,,
04/20/2018,29.0,ug/m3 SC,27,San Francisco,San Francisco,,,,,
05/02/2018,23.0,ug/m3 SC,21,San Francisco,San Francisco,,,,,
05/14/2018,7.0,ug/m3 SC,6,San Francisco,San Francisco,,,,,
05/26/2018,16.0,ug/m3 SC,15,San Francisco,San Francisco,,,,,
06/07/2018,21.0,ug/m3 SC,19,San Francisco,San Francisco,,,,,
06/19/2018,15.0,ug/m3 SC,14,San Francisco,San Francisco,,,,,
07/01/2018,35.0,ug/m3 SC,32,San Francisco,San Francisco,,,,,
07/13/2018,9.0,ug/m3 SC,8,San Francisco,San Francisco,,,,,
07/25/2018,12.0,ug/m3 SC,11,San Francisco,San Francisco,,,,,
08/06/2018,12.0,ug/m3 SC,11,San Francisco,San Francisco,,,,,
08/18/2018,11.0,ug/m3 SC,10,San Francisco,San Francisco,,,,,
08/30/2018,15.0,ug/m3 SC,14,San Francisco,San Francisco,,,,,
09/11/2018,30.0,ug/m3 SC,28,San Francisco,San Francisco,,,,,
09/23/2018,23.0,ug/m3 SC,21,San Francisco,San Francisco,,,,,
10/05/2018,18.0,ug/m3 SC,17,San Francisco,San Francisco,,,,,
10/17/2018,28.0,ug/m3 SC,26,San Francisco,San Francisco,,,,,
