,index,Name,Lat,Lon,Date
0,0, Bridge Fire,40.774,-122.309,2017-10-31
1,124, Cristianitos Fire,33.43513,-117.58252,2017-06-28
2,68,26 Fire,37.127590000000005,-120.0193,2017-06-07
3,353,32 Fire,39.8255,-121.7127,2017-09-25
4,365,36 Fire,40.20077,-122.24731000000001,2017-10-03
5,381,37 Fire,38.14242,-122.47301000000002,2017-10-09
6,303,4-10 Fire,41.644690000000004,-120.31813999999999,2017-08-30
7,301,4-4 Fire,41.4844,-120.36658999999999,2017-08-30
8,25,41 Fire,36.90967,-119.79315,2017-05-17
9,57,5 Fire,34.29931,-118.37539,2017-06-03
10,4,66 Fire,33.56777,-116.08003000000001,2017-04-13
11,154,Alamo Fire,35.0179,-120.3223,2017-07-06
12,121,Alvarado Fire,35.946999999999996,-120.87491999999999,2017-06-28
13,155,Antelope Fire,40.6361,-120.9643,2017-07-06
14,21,Arrow Fire,35.21177,-119.87525,2017-05-15
15,372,Atlas Fire (Southern LNU Complex),38.39206,-122.24367,2017-10-08
16,150,Auberry Fire,36.95104,-119.65621000000002,2017-07-05
17,148,Axel Fire,38.7803,-120.97111000000001,2017-07-08
18,322,Bally Fire,36.99092,-121.59898999999999,2017-09-03
19,164,Banderilla Fire,37.65963,-120.34801999999999,2017-07-07
20,122,Battle Fire,41.85763,-121.29581,2017-06-28
21,274,Beale Fire,39.1234,-121.32956999999999,2017-08-20
22,392,Bear Fire,37.18356,-122.07011999999999,2017-10-16
23,123,Ben Fire,37.3762,-119.9646,2017-06-28
24,175,Benson Fire,40.29118,-122.42606,2017-07-08
25,339,Berry Fire,40.98352,-121.81623,2017-09-12
26,425,Bitterwater Fire,36.38109,-121.00391,2017-11-25
27,40,Bitterwater Fire,36.355779999999996,-120.99552,2017-05-22
28,111,Black Fire,33.1683,-116.77342,2017-06-25
29,267,Blaine Fire,33.98212,-117.30819,2017-08-13
30,250,Blocksburg Fire,40.27582,-123.64281000000001,2017-08-03
31,370,Blue Fire,40.88516,-123.96843999999999,2017-10-08
32,289,Bodega Fire,38.26294,-122.71998,2017-08-27
33,69,Bodfish Fire,35.598040000000005,-118.47939,2017-06-10
34,99,Bogus Fire,41.93006,-122.36545,2017-06-18
35,93,Bolla Fire,40.32063,-122.83208,2017-06-18
36,329,Border 9 Fire,32.59252,-116.61608999999999,2017-09-07
37,309,Border Fire,32.6001,-116.76997,2017-09-01
38,251,Bottle Fire,38.94599,-122.81135,2017-08-08
39,295,Bradley Fire,41.222,-122.27498999999999,2017-08-28
40,326,Bradley Fire,41.222,-122.292,2017-08-28
41,22,Bravo Fire,35.41283,-118.84466,2017-05-15
42,71,Breckenridge Fire,35.373509999999996,-118.84133999999999,2017-06-09
43,130,Brewer Fire,39.08382,-121.06656000000001,2017-07-02
44,182,Bridge Fire,34.09773,-117.10566999999999,2017-07-14
45,162,Bryant Fire,34.07612,-117.06765,2017-07-07
46,248,Bryant Fire,34.084920000000004,-117.03826000000001,2017-08-03
47,344,Buck Fire,40.2275,-123.03583,2017-09-12
48,413,Buffalo Fire,33.402411,-117.402445,2017-10-17
49,314,Caldwell Fire,35.76,-118.406,2017-09-01
50,253,Calgary Fire,35.70639,-118.47306999999999,2017-08-05
51,244,Camatta Fire,35.4403,-120.2913,2017-08-02
52,26,Camp Fire,35.34541,-120.76463999999999,2017-05-18
53,387,Canyon 2 Fire,33.87041,-117.70975,2017-10-09
54,87,Canyon Fire,33.950382,-116.884446,2017-06-15
55,136,Canyon Fire,33.91806,-116.99321,2017-07-03
56,263,Canyon Fire,38.493359999999996,-122.2483,2017-08-11
57,290,Canyon Fire,33.6444,-117.3968,2017-08-27
58,358,Canyon Fire,33.8668,-117.68598,2017-09-25
