,index,Name,Lat,Lon,Date
0,118,3-2 Willow (Previously H-1 Fire),40.900458,-121.320838,2019-08-07
1,39,32 Fire,39.76242,-121.73658999999999,2019-06-15
2,254,46 Fire,33.985972,-117.414111,2019-10-31
3,18,66 Fire,33.57039,-116.1466,2019-05-29
4,79,Aborn Fire,37.32555556,-121.76444444,2019-07-15
5,208,American Fire,38.165873,-122.211671,2019-10-06
6,154,Antelope Fire,36.600167,-120.8405,2019-09-02
7,35,Ardo Fire,35.97059,-120.88241000000001,2019-06-12
8,181,Bailey Fire,33.496633,-116.631106,2019-09-10
9,186,Bar Fire,41.749666999999995,-123.00083300000001,2019-09-15
10,188,Baseline Fire ,38.751647999999996,-121.43263600000002,2019-09-20
11,187,Bautista Fire,33.635,-116.801111,2019-09-15
12,132,Bayliss Fire,37.219716999999996,-121.761974,2019-08-15
13,22,Bear Fire,36.14246,-118.80582,2019-06-03
14,233,Beaumont Fire,34.033117,-117.21545,2019-10-21
15,14,Belmont Fire,35.307590000000005,-119.96498000000001,2019-05-29
16,61,Bikeway Fire,37.469,-121.3697,2019-07-05
17,223,Bitter Fire,35.709176,-120.31285600000001,2019-10-11
18,37,Bitter Fire ,35.57376,-120.11738000000001,2019-06-10
19,146,Border 10 Fire,32.557546,-116.87395500000001,2019-08-25
20,137,Border 8 Fire,32.573437,-116.65873500000001,2019-08-16
21,135,Border 9 Fire,32.57394,-116.760465,2019-08-15
22,10,Border Fire,32.557565999999994,-116.8663,2019-05-13
23,70,Border Fire,32.566389,-116.7525,2019-07-12
24,23,Boulder Fire,35.343761,-119.91371699999999,2019-06-05
25,207,Briceburg Fire,37.604638,-119.96606000000001,2019-10-06
26,184,Bridge Fire,37.492002,-120.401028,2019-09-13
27,169,Broder Fire,36.150999999999996,-118.185,2019-09-06
28,107,Browns Fire,38.3525,-121.12361100000001,2019-08-02
29,249,Burris Fire,39.224309999999996,-123.12886999999999,2019-10-27
30,241,Cabrillo Fire,37.166674,-122.361112,2019-10-24
31,34,Calaveras Fire ,37.44422,-121.84082,2019-06-10
32,114,Caliente Fire,35.287372999999995,-118.623651,2019-08-05
33,106,Caliente Fire,32.575556,-117.02666699999999,2019-08-01
34,4,Cana Fire,39.83958,-121.95700000000001,2019-04-30
