Date,AQI_CO,AQI_NO2,AQI_O3,AQI_PM_2_5,AQI_PM_10,AQI_Max
1/1/15,7,37,26,55,0,55
1/2/15,8,42,20,73,0,73
1/3/15,10,45,17,84,0,84
1/4/15,10,40,19,86,0,86
1/5/15,9,42,12,69,0,69
1/6/15,10,47,13,90,41,90
1/7/15,15,47,8,72,0,72
1/8/15,14,48,5,98,0,98
1/9/15,14,33,9,80,0,80
1/10/15,7,29,13,56,0,56
1/11/15,7,25,14,54,0,54
1/12/15,7,31,9,50,0,50
1/13/15,10,35,11,38,0,38
1/14/15,8,32,13,81,0,81
1/15/15,9,44,9,100,0,100
1/16/15,9,37,5,93,0,93
1/17/15,8,27,17,57,0,57
1/18/15,8,22,7,58,17,58
1/19/15,8,26,12,46,0,46
1/20/15,8,27,11,55,0,55
1/21/15,9,32,11,52,0,52
1/22/15,9,25,11,63,0,63
1/23/15,13,37,8,69,0,69
1/24/15,13,33,11,68,0,68
1/25/15,9,32,14,67,0,67
1/26/15,9,35,8,64,0,64
1/27/15,10,42,21,43,0,43
1/28/15,11,42,21,91,0,91
1/29/15,11,47,19,52,0,52
1/30/15,8,28,12,46,22,46
1/31/15,9,25,27,34,0,34
2/1/15,9,35,18,57,0,57
2/2/15,11,45,20,81,0,81
2/3/15,11,37,16,60,0,60
2/4/15,9,30,30,74,0,74
2/5/15,6,39,28,34,0,39
2/6/15,3,9,29,15,0,29
2/7/15,5,14,26,26,0,26
2/8/15,5,17,38,18,0,38
2/9/15,5,19,30,43,0,43
2/10/15,7,27,21,29,0,29
2/11/15,8,39,15,36,15,39
2/12/15,9,37,19,38,0,38
2/13/15,10,53,21,49,0,53
2/14/15,9,34,21,54,0,54
2/15/15,10,39,23,45,0,45
2/16/15,10,32,36,51,0,51
2/17/15,5,21,37,47,0,47
2/18/15,5,16,25,38,0,38
2/19/15,5,22,22,48,0,48
2/20/15,8,27,15,54,0,54
2/21/15,9,24,31,43,0,43
2/22/15,6,22,31,25,0,31
2/23/15,5,37,31,18,19,37
2/24/15,7,61,29,26,0,61
2/25/15,6,29,28,41,0,41
2/26/15,8,35,29,48,0,48
2/27/15,5,13,33,15,0,33
2/28/15,5,30,31,17,0,31
3/1/15,0,26,30,20,0,30
3/2/15,6,25,35,32,0,35
3/3/15,8,44,29,33,0,44
3/4/15,7,41,28,36,0,41
3/5/15,8,37,36,36,0,37
3/6/15,8,46,33,43,0,46
3/7/15,7,25,34,44,19,44
3/8/15,6,15,31,49,0,49
3/9/15,6,19,24,53,0,53
3/10/15,5,27,30,60,0,60
3/11/15,5,23,33,41,0,41
3/12/15,5,42,24,25,0,42
3/13/15,8,49,21,37,0,49
3/14/15,7,28,37,41,0,41
