Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
01/01/2020,8.9,ug/m3 LC,37,San Francisco
01/02/2020,9.1,ug/m3 LC,38,San Francisco
01/03/2020,16.3,ug/m3 LC,60,San Francisco
01/04/2020,6.9,ug/m3 LC,29,San Francisco
01/05/2020,5.1,ug/m3 LC,21,San Francisco
01/06/2020,7.2,ug/m3 LC,30,San Francisco
01/07/2020,6.7,ug/m3 LC,28,San Francisco
01/08/2020,5.2,ug/m3 LC,22,San Francisco
01/09/2020,4.8,ug/m3 LC,20,San Francisco
01/10/2020,7.6,ug/m3 LC,32,San Francisco
01/11/2020,5.7,ug/m3 LC,24,San Francisco
01/12/2020,5.2,ug/m3 LC,22,San Francisco
01/13/2020,3.3,ug/m3 LC,14,San Francisco
01/14/2020,6.1,ug/m3 LC,25,San Francisco
01/15/2020,6.2,ug/m3 LC,26,San Francisco
01/16/2020,4.9,ug/m3 LC,20,San Francisco
01/17/2020,7.1,ug/m3 LC,30,San Francisco
01/18/2020,5.1,ug/m3 LC,21,San Francisco
01/19/2020,7.2,ug/m3 LC,30,San Francisco
01/20/2020,11.4,ug/m3 LC,48,San Francisco
01/21/2020,3.4,ug/m3 LC,14,San Francisco
01/22/2020,7.2,ug/m3 LC,30,San Francisco
01/23/2020,10.2,ug/m3 LC,43,San Francisco
01/24/2020,7.4,ug/m3 LC,31,San Francisco
01/25/2020,7.8,ug/m3 LC,33,San Francisco
01/26/2020,4.5,ug/m3 LC,19,San Francisco
01/27/2020,7.7,ug/m3 LC,32,San Francisco
01/28/2020,7.9,ug/m3 LC,33,San Francisco
01/29/2020,10.6,ug/m3 LC,44,San Francisco
01/30/2020,8.1,ug/m3 LC,34,San Francisco
01/31/2020,14.0,ug/m3 LC,55,San Francisco
02/01/2020,19.9,ug/m3 LC,67,San Francisco
02/02/2020,5.5,ug/m3 LC,23,San Francisco
02/03/2020,2.8,ug/m3 LC,12,San Francisco
02/04/2020,5.0,ug/m3 LC,21,San Francisco
02/05/2020,8.7,ug/m3 LC,36,San Francisco
02/06/2020,10.9,ug/m3 LC,45,San Francisco
02/07/2020,12.5,ug/m3 LC,52,San Francisco
02/08/2020,8.9,ug/m3 LC,37,San Francisco
02/09/2020,3.8,ug/m3 LC,16,San Francisco
02/10/2020,6.1,ug/m3 LC,25,San Francisco
02/11/2020,7.4,ug/m3 LC,31,San Francisco
02/12/2020,13.5,ug/m3 LC,54,San Francisco
02/13/2020,7.6,ug/m3 LC,32,San Francisco
02/14/2020,8.4,ug/m3 LC,35,San Francisco
02/15/2020,9.0,ug/m3 LC,38,San Francisco
02/16/2020,6.5,ug/m3 LC,27,San Francisco
