,Date,Daily_Max_8-hour_Ozone_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,Daily_Max_8-hr_Ozone_Concentration
0,01/01/2019,0.032,ppm,30,San Francisco,
1,01/02/2019,0.017,ppm,16,San Francisco,
2,01/03/2019,0.018,ppm,17,San Francisco,
3,01/04/2019,0.026,ppm,24,San Francisco,
4,01/05/2019,0.039,ppm,36,San Francisco,
5,01/06/2019,0.037,ppm,34,San Francisco,
6,01/07/2019,0.019,ppm,18,San Francisco,
7,01/08/2019,0.035,ppm,32,San Francisco,
8,01/09/2019,0.035,ppm,32,San Francisco,
9,01/10/2019,0.016,ppm,15,San Francisco,
10,01/11/2019,0.01,ppm,9,San Francisco,
11,01/12/2019,0.031,ppm,29,San Francisco,
12,01/13/2019,0.023,ppm,21,San Francisco,
13,01/14/2019,0.029,ppm,27,San Francisco,
14,01/15/2019,0.037,ppm,34,San Francisco,
15,01/16/2019,0.041,ppm,38,San Francisco,
16,01/17/2019,0.038,ppm,35,San Francisco,
17,01/18/2019,0.029,ppm,27,San Francisco,
18,01/19/2019,0.025,ppm,23,San Francisco,
19,01/20/2019,0.042,ppm,39,San Francisco,
20,01/21/2019,0.035,ppm,32,San Francisco,
21,01/22/2019,0.028,ppm,26,San Francisco,
22,01/23/2019,0.026,ppm,24,San Francisco,
23,01/24/2019,0.021,ppm,19,San Francisco,
24,01/25/2019,0.024,ppm,22,San Francisco,
25,01/26/2019,0.028,ppm,26,San Francisco,
26,01/27/2019,0.03,ppm,28,San Francisco,
27,01/28/2019,0.017,ppm,16,San Francisco,
28,01/29/2019,0.021,ppm,19,San Francisco,
29,01/30/2019,0.022,ppm,20,San Francisco,
30,01/31/2019,0.036,ppm,33,San Francisco,
31,02/01/2019,0.043,ppm,40,San Francisco,
32,02/02/2019,0.042,ppm,39,San Francisco,
33,02/03/2019,0.041,ppm,38,San Francisco,
34,02/04/2019,0.04,ppm,37,San Francisco,
35,02/05/2019,0.032,ppm,30,San Francisco,
36,02/06/2019,0.028,ppm,26,San Francisco,
37,02/07/2019,0.031,ppm,29,San Francisco,
38,02/08/2019,0.029,ppm,27,San Francisco,
39,02/09/2019,0.042,ppm,39,San Francisco,
40,02/10/2019,0.042,ppm,39,San Francisco,
